key,german,dutch
"pages.settings.infrastructure.form.proxyHeaderValue","Mnestix API Key Header Wert","Headerwaarde Mnestix API-sleutel"
"pages.settings.infrastructure.form.proxyHeaderValueRequired","Mnestix API Key Header Wert ist erforderlich","Headerwaarde Mnestix API-sleutel is verplicht"
"pages.settings.infrastructure.form.save","Speichern","Opslaan"
"pages.settings.infrastructure.form.saveError","Fehler beim Speichern der Infrastruktur","Fout bij opslaan van infrastructuur"
"pages.settings.infrastructure.form.saveSuccess","Infrastruktur erfolgreich gespeichert","Infrastructuur succesvol opgeslagen"
"pages.settings.infrastructure.form.security","Infrastruktur Sicherheit","Infrastructuurbeveiliging"
"pages.settings.infrastructure.form.securityType","Sicherheitstyp","Beveiligingstype"
"pages.settings.infrastructure.form.securityTypeHeaderSecurity","Custom Header","Aangepaste header"
"pages.settings.infrastructure.form.securityTypeMnestixProxy","Mnestix API Key","Mnestix API-sleutel"
"pages.settings.infrastructure.form.securityTypeNone","Keine","Geen"
"pages.settings.infrastructure.form.securityTypeRequired","Sicherheitstyp ist erforderlich","Beveiligingstype is verplicht"
"pages.settings.infrastructure.form.urlFieldInvalid","Muss eine gültige URL sein","Moet een geldige URL zijn"
"pages.settings.infrastructure.form.urlFieldRequired","URL ist erforderlich","URL-veld is verplicht"
"pages.settings.infrastructure.healthCheck.aasGeneratorLabel","Mnestix AAS Generator","Mnestix AAS Generator"
"pages.settings.infrastructure.healthCheck.applicationVersion","Anwendungsversion","Applicatieversie"
"pages.settings.infrastructure.healthCheck.buildDate","Build-Datum","Builddatum"
"pages.settings.infrastructure.healthCheck.checking","Prüfe...","Controleren..."
"pages.settings.infrastructure.healthCheck.offline","Offline","Offline"
"pages.settings.infrastructure.healthCheck.refresh","Status aktualisieren","Health-status vernieuwen"
"pages.settings.infrastructure.healthCheck.unreachable","Mnestix AAS Generator nicht erreichbar (Hinweis: Mnestix Generator V1 unterstützt keine Health Checks und wird immer als offline angezeigt. Bitte aktualisieren Sie auf Version 2, um Health Checks zu nutzen)","Mnestix AAS Generator niet bereikbaar (Let op: Mnestix Generator V1 ondersteunt geen health checks en wordt altijd als offline weergegeven. Werk bij naar versie 2 om health checks te gebruiken)"
"pages.settings.infrastructure.healthCheck.version","API-Version: ","API-versie: "
"pages.settings.infrastructure.noInfrastructuresFound","Keine Infrastrukturen gefunden","Geen infrastructuren gevonden"
"pages.settings.infrastructure.subtitle","Definieren Sie, welche Infrastrukturen verwendet werden sollen.","Bepaal welke infrastructuren gebruikt moeten worden."
"pages.settings.infrastructure.title","Infrastrukturen","Infrastructuren"
"pages.settings.infrastructure.urlFieldNoTrailingSlash","Die URL darf nicht mit einem Schrägstrich (/) enden.","De URL mag niet eindigen met een schuine streep (/)."
"pages.settings.messages.changesSavedSuccessfully","Änderungen erfolgreich gespeichert.","Wijzigingen succesvol opgeslagen."
"pages.settings.rules.buttons.add","Hinzufügen","Toevoegen"
"pages.settings.rules.buttons.back","Zurück","Terug"
"pages.settings.rules.buttons.cancel","Abbrechen","Annuleren"
"pages.settings.rules.buttons.create","Berechtigung hinzufügen","Toestemming toevoegen"
"pages.settings.rules.buttons.delete","Löschen","Verwijderen"
"pages.settings.rules.buttons.edit","Bearbeiten","Bewerken"
"pages.settings.rules.buttons.save","Speichern","Opslaan"
"pages.settings.rules.createRule.placeholderText","Neuer oder bestehender Rollenname","Nieuwe of bestaande rolnaam"
"pages.settings.rules.createRule.saveSuccess","Neue Regel erfolgreich gespeichert.","Nieuwe regel succesvol opgeslagen."
"pages.settings.rules.createRule.subtitle","Füge eine Berechtigung zu einer neuen oder bereits bestehenden Rolle hinzu.","Voeg een toestemming toe aan een nieuwe of bestaande rol."
"pages.settings.rules.createRule.subtitle2","Füge eine Berechtigung zu der Rolle ''{role}'' hinzu.","Voeg een toestemming toe aan de rol ''{role}''."
"pages.settings.rules.createRule.title","Neue Berechtigung hinzufügen","Nieuwe toestemming toevoegen"
"pages.settings.rules.deleteRole.delete","Rolle löschen","Rol verwijderen"
"pages.settings.rules.deleteRole.description","Die Rolle ''{roleName}'' enthält {count} Rechte. Wollen Sie die gesamte Rolle mit allen Rechten löschen?","U staat op het punt de rol ''{roleName}'' met {count} toestemmingen te verwijderen. Weet u zeker dat u de hele rol wilt verwijderen?"
"pages.settings.rules.deleteRole.header","Gesamte Rolle löschen","Hele rol verwijderen"
"pages.settings.rules.deleteRole.partiallySuccess","{count} von {total} Rechte wurden gelöscht. Die Rolle existiert weiterhin mit den restlichen Rechten!","{count} van de {total} toestemmingen zijn verwijderd. De rol bestaat nog met de resterende toestemmingen!"
"pages.settings.rules.deleteRole.success","Rolle ''{roleName}'' wurde erfogreich gelöscht.","Rol ''{roleName}'' is succesvol verwijderd."
"pages.settings.rules.deleteRule.question","Regel unwiderruflich löschen?","Deze regel permanent verwijderen?"
"pages.settings.rules.deleteRule.ruleInfo","Nutzer mit der Rolle ''{role}'' haben danach keine Berrechtigungen mehr die folgenden Daten {action, select, READ {zu LESEN} EDIT {zu EDITIEREN} CREATE {zu ERSTELLEN} UPDATE {zu VERÄNDERN} EXECUTE {AUSZUFÜHREN}  other {#}}!","Gebruikers met de toegewezen rol ''{role}'' hebben geen toestemming om de volgende gegevens te {action}!"
"pages.settings.rules.deleteRule.success","Regel erfolgreich gelöscht.","Regel succesvol verwijderd."
"pages.settings.rules.editRule.saveSuccess","Regel erfolgreich bearbeitet.","Regel succesvol bewerkt."
"pages.settings.rules.editRule.title","Regel bearbeiten","Regel bewerken"
"pages.settings.rules.errors.uniqueIdShort","Die Kombination aus Rollenname, Aktion und Typ existiert bereits in einer anderen Regel.
Bitte bearbeiten Sie die bestehende Regel.","De combinatie van rolnaam, actie en type bestaat al in een andere regel.
Bewerk de bestaande regel."
"pages.settings.rules.keycloakHint.acknowledge","In Ordnung","Bevestigen"
"pages.settings.rules.keycloakHint.create","Diese Rolle wurde bisher nicht verwendet. Vergessen Sie nicht diese auch in Keycloak zu konfigurieren!","Deze rol is nog niet gebruikt. Vergeet niet deze in Keycloak te configureren!"
"pages.settings.rules.keycloakHint.delete","Vergessen Sie nicht die Rolle in Keycloak zu entfernen!","Vergeet niet deze rol ook in Keycloak te verwijderen!"
"pages.settings.rules.keycloakHint.title","Keycloak aktualisieren","Keycloak bijwerken"
"pages.settings.rules.roleNameMaxLength","Rollenname darf maximal {maxLength} Zeichen lang sein","Rolnaam mag niet langer zijn dan {maxLength} tekens."
"pages.settings.rules.roleNameNoTrailSpace","Rollenname darf keine Leerzeichen am Ende haben.","Rolnaam mag niet eindigen met een spatie."
"pages.settings.rules.roleRequired","Rolle wird benötigt","Rol is verplicht"
"pages.settings.rules.subtitle","Verwalten von Rollen und Berechtigungen.","Beheer rollen en toestemmingen."
"pages.settings.rules.tableHeader.aasIds","AAS IDs","AAS-IDs"
"pages.settings.rules.tableHeader.action","Aktion","Actie"
"pages.settings.rules.tableHeader.name","Rolle","Rol"
"pages.settings.rules.tableHeader.permissions","Berechtigungen","Toestemmingen"
"pages.settings.rules.tableHeader.submodelIds","Submodel IDs","Submodel-IDs"
"pages.settings.rules.tableHeader.type","Typ","Type"
"pages.settings.rules.title","Rollenmanagement","Rolbeheer"
"pages.settings.rules.wildcardLabel","Alle erlauben","Alles toestaan"
"pages.settings.subHeader","Hinzufügen, Entfernen oder Ändern von Einstellungen und Konfigurationen für verschiedene Funktionen innerhalb Ihrer AAS-Umgebung.","Voeg instellingen en configuraties voor verschillende functies binnen uw AAS-omgeving toe, verwijder of wijzig ze."
"pages.templates.actions.add","Hinzufügen","Toevoegen"
"pages.templates.actions.cancel","Abbrechen","Annuleren"
"pages.templates.actions.delete","Löschen","Verwijderen"
"pages.templates.actions.duplicate","Duplizieren","Dupliceren"
"pages.templates.actions.edit","Bearbeiten","Bewerken"
"pages.templates.actions.remove","Entfernen","Verwijderen"
"pages.templates.actions.restore","Wiederherstellen","Herstellen"
"pages.templates.actions.revertChanges","Änderungen zurücksetzen","Wijzigingen terugdraaien"
"pages.templates.actions.saveChanges","Änderungen speichern","Wijzigingen opslaan"
"pages.templates.all","Alle","Alle"
"pages.templates.blueprintDeletedSuccessfully","Blueprint erfolgreich gelöscht.","Blauwdruk succesvol verwijderd"
"pages.templates.blueprintIdCopied","Blueprint-ID in die Zwischenablage kopiert: {id}","Blauwdruk-ID gekopieerd naar klembord: {id}"
"pages.templates.blueprintUseExplanation","Blueprints erlauben es Ihnen, eine wiederverwendbare Teilmodell-Struktur, angepasst auf Ihre Bedürfnisse, zu definieren.","Met blauwdrukken kunt u een herbruikbare submodelstructuur aanmaken, aangepast aan uw vereisten."
"pages.templates.boolean.false","falsch","onwaar"
"pages.templates.boolean.true","wahr","waar"
"pages.templates.chooseAStartingPoint","Wählen Sie ein Template als Ausgangspunkt","Kies een sjabloon als startpunt"
"pages.templates.collectionMappingInfo","Collection Mapping Info","Collectie-mapping-info"
"pages.templates.collectionMappingInfoDescription","Json-Ausdruck, der zum Duplizieren von SubmodelElementen während Datenimporten verwendet werden kann. Der angegebene Pfad muss zu einem Array führen, daher mit [*] enden.","Json-expressie die kan worden gebruikt voor het dupliceren van SubmodelElements tijdens gegevensimports. Let op dat het opgegeven pad naar een array moet leiden en dus moet eindigen met [*]."
"pages.templates.copyBlueprintId","Blueprint-ID kopieren","Blauwdruk-ID kopiëren"
"pages.templates.createNew","Blueprint erstellen","Nieuwe blauwdruk"
"pages.templates.custom","Custom","Aangepast"
"pages.templates.defaultValue","Defaultwert","Standaardwaarde"
"pages.templates.deleteBlueprintQuestion","Blueprint ''{name}'' unwiderruflich löschen?","Blauwdruk ''{name}'' onherstelbaar verwijderen?"
"pages.templates.displayName","Anzeigename","Weergavenaam"
"pages.templates.docsLink","Klicken Sie hier, um zur Dokumentation zum Verwenden und Erstellen von Templates und Blueprints zu gelangen.","Klik hier om naar de documentatie voor het gebruiken en aanmaken van sjablonen en blauwdrukken te gaan."
"pages.templates.emptyTemplate","Leer (Custom)","Leeg (aangepast)"
"pages.templates.emptyTemplateDescription","Basiert auf keinem standardisierten Template","Is niet gebaseerd op een gestandaardiseerd sjabloon"
"pages.templates.errors.unknownModelType","Mnestix unterstützt diesen ModelType noch nicht ({type}).","Mnestix ondersteunt dit modeltype nog niet ({type})."
"pages.templates.filterMappingInfo","Filter Mapping Info","Filter-mapping-info"
"pages.templates.filterMappingInfoDescription","Jsonata-Ausdruck, der verwendet werden kann, um SubmodelElemente während Datenimporten zu filtern. Beachten Sie, dass das Ergebnis des Ausdrucks ein boolescher Wert sein muss.","Jsonata-expressie die kan worden gebruikt voor het weglaten van SubmodelElements tijdens gegevensimports. Let op dat het resultaat van de expressie een boolean moet zijn."
"pages.templates.healthCheck.label","Status des Mnestix AAS Generators: ","Status Mnestix AAS Generator: "
"pages.templates.healthCheck.refresh","Status aktualisieren","Health-status vernieuwen"
"pages.templates.labels.language","Sprache","Taal"
"pages.templates.labels.modelType","Model Type","Modeltype"
"pages.templates.labels.notAvailable","-","-"
"pages.templates.labels.semanticId","semanticId","semanticId"
"pages.templates.labels.text","Text","Tekst"
"pages.templates.labels.value","Wert","Waarde"
"pages.templates.labels.valueType","Value Type","Waardetype"
"pages.templates.mappingInfo","Mapping Info","Mapping-info"
"pages.templates.mappingInfoDescription","Jsonata-Ausdruck, der zum Mappen von Werten während Datenimporten verwendet werden kann. Beachten Sie, dass das Ergebnis des Ausdrucks denselben Datentyp wie dieses SubmodelElement haben muss.","Jsonata-expressie die kan worden gebruikt voor het mappen van waarden tijdens gegevensimports. Let op dat het resultaat van de expressie hetzelfde gegevenstype moet zijn als dit SubmodelElement."
"pages.templates.messages.changesSavedSuccessfully","Änderungen erfolgreich gespeichert.","Wijzigingen succesvol opgeslagen"
"pages.templates.messages.deleted","gelöscht","verwijderd"
"pages.templates.multiplicity","Multiplizität","Multipliciteit"
"pages.templates.multiplicityDescription","Optionen zur Auswahl, ob ein SubmodelElement obligatorisch oder optional ist, und ob es mehrere Instanzen haben kann. Dies wird zur Datenvalidierung während Importen verwendet.","Opties om te selecteren of een SubmodelElement verplicht of optioneel is, en of het meerdere instanties kan hebben. Dit wordt gebruikt voor gegevensvalidatie tijdens imports."
"pages.templates.noBlueprintsFound","Keine Blueprints gefunden","Geen blauwdrukken gevonden"
"pages.templates.noBlueprintsWarning","Keine Blueprints verfügbar.","Geen blauwdrukken beschikbaar."
"pages.templates.noTemplatesWarning","Keine Templates verfügbar. Es werden nur Blueprints angezeigt.","Geen sjablonen beschikbaar. Alleen blauwdrukken worden getoond."
"pages.templates.title","Templates & Blueprints","Sjablonen & blauwdrukken"
"pages.templates.validation.errors.invalidDate","Muss ein gültiges Datum sein, im Format ''yyyy-mm-dd''","Moet een geldige datum zijn in formaat ''jjjj-mm-dd''"
"pages.templates.validation.errors.invalidLong","Muss eine valide Zahl sein","Moet een geldige long zijn"
"pages.transfer.aasIdentifier.default","Unbekannte AAS-ID","Onbekend AAS-ID"
"pages.transfer.aasIdentifier.display","""{aasId}""","""{aasId}"""
"pages.transfer.aasOriginUrl.default","Unbekannte AAS-Origin-URL","Onbekende AAS-oorsprong-URL"
"pages.transfer.aasOriginUrl.display","""{repoUrl}""","""{repoUrl}"""
"pages.transfer.aasRepository","AAS Repository","AAS-repository"
"pages.transfer.chooseRepository","Wählen Sie das AAS-Repository, in das übertragen werden soll:","Kies AAS-repository om naar over te dragen:"
"pages.transfer.chooseSubmodelRepository","Submodel Repository auswählen (optional)","Kies submodel-repository (optioneel)"
"pages.transfer.errorToast","Transfer der AAS nicht erfolgreich","Overdracht van AAS niet geslaagd"
"pages.transfer.partiallyFailedToast","Teil des Transfers fehlgeschlagen","Overdracht van element mislukt"
"pages.transfer.repositoryApiKey","AAS Repository ApiKey","API-sleutel AAS-repository"
"pages.transfer.repositoryLabel","Liste der AAS Repositorys","Lijst van AAS-repositories"
"pages.transfer.repositoryRequired","AAS Repository wird benötigt","AAS-repository is verplicht"
"pages.transfer.submodelRepository","Submodel Repository","Submodel-repository"
"pages.transfer.submodelRepositoryApiKey","Submodel Repository ApiKey","API-sleutel submodel-repository"
"pages.transfer.submodelRepositoryLabel","Liste der Submodel Repositorys","Lijst van submodel-repositories"
"pages.transfer.subtitle","Transfer ""{aasId}"" von ""{repoUrl}"" zu:","Draag ""{aasId}"" over van ""{repoUrl}"" naar:"
"pages.transfer.successfulToast","Transfer der AAS erfolgreich","Overdracht van AAS geslaagd"
"pages.transfer.title","Transfer","Overdracht"
"pages.transfer.useAasRepository","AAS Repository verwenden","AAS-repository gebruiken"
"pages.transfer.warningToast","Transfer der AAS nur teilweise erfolgreich.","AAS is slechts gedeeltelijk overgedragen."
